Input Word Length,Enc Time (ms),Dec Time (ms),CPU Enc Time (ms),CPU Dec Time (ms),Enc Memory Usage (MiB),Dec Memory Usage (MiB),Enc Throughput (kB/s),Dec Throughput (kB/s)
10,62.51,62.50,62.50,62.50,40.8,40.8,1.09,1.09
25,157.02,166.09,156.25,156.25,40.7,40.7,1.17,1.10
50,316.03,399.58,312.50,390.62,41.0,40.8,1.16,0.92
100,600.51,604.36,609.38,609.38,40.7,40.6,1.13,1.12
200,1060.02,1155.48,1062.50,1156.25,40.7,40.7,1.28,1.18
250,1329.74,1500.76,1328.12,1500.00,40.7,40.8,1.30,1.15
500,2954.75,2827.91,2953.12,2828.12,40.7,40.9,1.14,1.19
1000,5566.28,5798.32,5531.25,5703.12,40.8,41,1.22,1.17
2500,13476.15,14989.05,13390.62,14843.75,41.0,40.8,1.26,1.13
5000,27722.79,29362.43,27453.12,29078.12,40.9,41.3,1.22,1.15
7500,40513.70,42693.46,40453.12,42421.88,41.1,41.1,1.25,1.19
10000,57368.46,57237.34,56968.75,56703.12,40.9,41.4,1.18,1.18
20000,118754.61,118254.26,117765.62,117765.62,41.3,41.5,1.14,1.14
25000,142940.15,142141.48,141812.50,141078.12,41.7,41.4,1.18,1.19
50000,296281.38,285961.32,293015.62,283718.75,41.9,42,1.14,1.18
75000,441520.45,432898.45,440243.43,4327543.53,42.2,41.9,1.15,1.17
100000,574934.55,566442.60,572062.50,562062.50,41.8,41.6,1.17,1.19
