Input Word Length,Enc Time (ms),Dec Time (ms),CPU Enc Time (ms),CPU Dec Time (ms),Enc Memory Usage (MiB),Dec Memory Usage (MiB),Enc Throughput (kB/s),Dec Throughput (kB/s)
10,0,0,0,0,41.9,41.5,,
25,0,0,0,0,41.8,41.6,,
50,0,0,0,0,41.9,41.9,,
100,0,0,0,0,41.9,42.2,,
200,0,0,0,0,42,41.7,,
250,0,0,0,0,42.1,41.5,,
500,0,0,0,0,42.1,41.8,,
1000,0,0,0,0,42.3,41.7,,
2500,0,0,0,0,42.5,41.7,,
5000,0,0,0,0,41.8,42,,
7500,0,0,0,0,42.0,42.2,,
10000,0,0,0,0,42.3,41.9,,
20000,483.43,612.84,482.12,592.23,42.3,41.8,,
25000,559.22,736.34,530.20,693.54,42.3,42,301.90,229.28
50000,1432.34,1643.73,1430.75,1531.48,42.5,41.8,235.74,205.42
75000,2132.60,2432.82,2105.32,2142.52,42.5,41.9,237.49,208.19
100000,3076.38,3582.81,2993.64,3242.53,42.6,41.9,219.51,188.49
